Seat,ALP ,LNP,Other,OTHER Party,Winning Party
Calwell,55.33,28.67,16.01,UAP,ALP
Gorton,51.21,30.9,17.89,UAP,ALP
Greenway,56.59,34,9.4,UAP,ALP
Holt,49.81,33.46,16.73,UAP,ALP
Lalor,55.81,29.52,14.67,UAP,ALP
McMahon,53.7,31.85,14.45,UAP,ALP
Scullin,58.46,25.37,16.18,UAP,ALP
Watson,60.44,28.46,11.1,UAP,ALP
Werriwa,47.21,36.42,16.37,UAP,ALP
Mayo,25.75,32.26,41.99,XEN,XEN
